CASE_ID,GPS_NAC_ADOPTER,SURVEY_SOURCE,STATE,HOME,HAVESOLAR,PROMPT1,PROMPT2,PROMPT3,PROMPT4,PROMPT5,PROMPT6,PROMPT7,PROMPT8,PROMPT9,PROMPT10,PROMPT11,PROMPT12,PROMPT13,PROMPT14,PROMPT15,PROMPT_HOME1,PROMPT_HOME2,PROMPT_HOME3,PROMPT_HOME4,PROMPT_HOME5,INSTALL_YR_BINNED,TIME_AtoB_FRAME,TIME_AtoB_NUM_TEXT_CLND,TIME_BtoC_FRAME,TIME_BtoC_NUM_TEXT_CLND,TIME_CONSIDERED,INST_TALKEDTO,FNDONLYINST1,FNDONLYINST2,FNDONLYINST3,FNDONLYINST4,FNDONLYINST5,FNDONLYINST6,FNDONLYINST7,FNDONLYINST8,FNDONLYINST9,FNDONLYINST10,FNDONLYINST_REC1,FNDONLYINST_REC2,FNDONLYINST_REC3,FNDONLYINST_REC4,FNDONLYINST_REC5,FNDONLYINST_WHO1,FNDONLYINST_WHO2,FNDONLYINST_WHO3,FNDONLYINST_WHO4,FNDONLYINST_WHO5,FNDBESTINST1,FNDBESTINST2,FNDBESTINST3,FNDBESTINST4,FNDBESTINST5,FNDBESTINST6,FNDBESTINST7,FNDBESTINST8,FNDBESTINST9,FNDBESTINST10,FNDBESTINST_REC1,FNDBESTINST_REC2,FNDBESTINST_REC3,FNDBESTINST_REC4,FNDBESTINST_REC5,FNDBESTINST_WHO1,FNDBESTINST_WHO2,FNDBESTINST_WHO3,FNDBESTINST_WHO4,FNDBESTINST_WHO5,FNDNOTINST1,FNDNOTINST2,FNDNOTINST3,FNDNOTINST4,FNDNOTINST5,FNDNOTINST6,FNDNOTINST7,FNDNOTINST8,FNDNOTINST9,FNDNOTINST10,FNDNOTINST_REC1,FNDNOTINST_REC2,FNDNOTINST_REC3,FNDNOTINST_REC4,FNDNOTINST_REC5,FNDNOTINST_WHO1,FNDNOTINST_WHO2,FNDNOTINST_WHO3,FNDNOTINST_WHO4,FNDNOTINST_WHO5,INST_QOTE_BUY_TEXT_CLND,INST_QOTE_LSE_TEXT_CLND,MOTIVE1,MOTIVE2,MOTIVE3,MOTIVE4,MOTIVE5,MOTIVE6,MOTIVE7,MOTIVE8,MOTIVE9,INFLNC_FIRST,INFLNC_SAW,INFLNC_PPLTALK,INFLNC_ADS,INFLNC_OTHKNEW,INFLNC_OTHKNEW_NUM,INFLNC_OTH_MULT1,INFLNC_OTH_MULT2,INFLNC_OTH_MULT3,INFLNC_OTH_MULT4,INFLNC_OTH_MULT5,INFLNC_OTH_MULT6,INFLNC_OTH_MULT7,INFLNC_OTH_ONE1,INFLNC_OTH_ONE2,INFLNC_OTH_ONE3,INFLNC_OTH_ONE4,INFLNC_OTH_ONE5,INFLNC_OTH_ONE6,DIFFICULTY1,DIFFICULTY2,DIFFICULTY3,DIFFICULTY4,DIFFICULTY5,DIFFICULTY6,CONCERN1,CONCERN2,CONCERN3,CONCERN4,CONCERN5,CONCERN6,CONCERN7,CONCERN8,CONCERN9,NPS_PANELS,NPS_INSTALLER,EXPERIENCE1,EXPERIENCE2,EXPERIENCE3,EXPERIENCE4,EXPERIENCE5,EXPERIENCE6,REGRETS,TOLD_OTHERS,TOLD_OTHERS_NUM,TOLD_OTHERS_LOCAL,ACTIVITY1,ACTIVITY2,ACTIVITY3,ACTIVITY4,ACTIVITY5,REFERRAL_NUM,REFERRAL_WHEN1,REFERRAL_WHEN2,REFERRAL_WHEN3,REFERRAL_WHEN4,SIZE_PANELS_BINNED,SIZE_KW_BINNED,BUY_LEASE,LOAN,OPTION_TO_LEASE,WHY_BUY1,WHY_BUY2,WHY_BUY3,WHY_BUY4,WHY_BUY5,WHY_BUY6,WHY_BUY7,LEASE_TYPE,OPTION_TO_BUY,WHY_LEASE1,WHY_LEASE2,WHY_LEASE3,WHY_LEASE4,WHY_LEASE5,WHY_LEASE6,WHY_LEASE7,ECONEVAL,ECONEVAL_SVG_PERIOD,ECONEVAL_SVGS_CLND,ECONEVAL_SVGS_ACTUAL,ECONEVAL_PYBK,ECONEVAL_PYBK_YRS_CLND,ECONEVAL_PYBK_ACTUAL,ECONEVAL_ROR,ECONEVAL_ROR_PCT_CLND,ECONEVAL_ROR_ACTUAL,WINTER_NOPV_BINNED,WINTER_PV_BINNED,SUMMER_NOPV_BINNED,SUMMER_PV_BINNED,PN1,PN2,PN3,E2,BB1,BB2,BB3,BTE8,BE13,BE10,Co3,VB1,VB2,VB3,VA1,VA2,VA3,VT1,VT2,VT3,VE1,VE2,VE4,VO1,VO2,VO3,RISK_AVERSION_CLND,DISCOUNTING_CLND,CIJM1,CIJM2,CIJM3,CNS1,CNS2,CNS4,HOME_MOVED_SINCE2009,SQFT_BINNED,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,HMYRS_1,HMYRS_1_CLEANED,HAS_POOL,HAS_AC,STANCE,PEOPLE_TOT_3PLUS,HAVE_KIDS,GENDER,AGE_BINNED,EDUC_BINNED,FINANCIAL,INCOME_BINNED,RETIRED,RETIRED_LAST5YRS,RETIRE_WHEN,RETIRE_WHEN_BINNED
1352,3,2,4,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,2,1,2,4,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,2,5,5,5,5,2,1,1,2,4,3,1,3,2,1,2,3,2,1,2,,,,,,,1,2,1,1,1,1,5,5,5,3,2,1,2,1,2,10,10,5,4,5,4,4,98,0,1,1,1,4,4,4,3,4,0,,,,,1,,99,,,,,,,,,,,,,,,,,,,1,98,,94,,,,,,,,,,,5,5,4,5,5,5,5,4,98,4,5,5,5,4,5,5,5,4,5,2,1,1,1,2,4,5,,,3,3,4,2,2,2,0,2,1,1,1,1,1,0,1,0,2,10,0,1,1,1,1,1,2,3,2,4,0,,1,4
1353,3,2,2,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,3,1,5,2,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,1,3,5,3,3,2,1,1,5,3,1,3,0,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,11,11,5,5,5,4,3,5,0,1,3,2,4,4,4,3,4,2,0,1,0,0,4,,2,,,,,,,,,,2,0,,,,,,,,1,1,50,3,,,,,,,8,5,8,5,2,2,1,1,3,1,2,5,3,5,3,3,4,1,5,3,4,5,5,5,3,1,3,3,1,5,10,10000,3,3,3,4,4,4,0,1,1,1,1,0,0,0,0,0,3,,1,1,5,1,1,1,,2,2,95,1,0,,
1354,3,2,2,,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,,,,,,3,1,1,2,4,7,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,2,0,5,4,3,5,2,2,2,1,1,1,4,4,3,1,3,2,1,2,2,2,2,2,,,,,,,5,1,4,4,5,1,5,5,5,5,5,5,5,3,2,8,9,5,3,4,4,4,4,1,1,4,3,3,3,3,3,4,5,0,1,0,0,4,,2,,,,,,,,,,2,1,3,1,3,3,3,1,1,1,1,200,3,,,,,,,10,7,11,10,3,3,2,1,3,3,3,5,3,5,4,3,3,2,3,2,3,4,5,4,4,3,4,3,3,3,100,7000,4,4,3,3,3,3,0,4,1,1,1,1,1,1,1,0,98,,0,1,4,1,1,0,2,,2,95,0,,2,
1355,3,2,2,,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,3,2,1,2,6,4,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,2,1,5,5,5,5,5,5,5,5,3,5,3,4,5,0,,,,,,,,,,,,,,,1,1,3,1,4,1,5,5,5,5,5,1,5,3,2,11,11,5,4,3,4,5,3,0,1,4,2,4,2,4,2,3,5,0,1,0,0,4,,2,,,,,,,,,,1,0,,,,,,,,3,,,,,,,1,30,1,8,4,10,5,4,4,5,5,4,98,4,4,4,5,4,4,4,3,5,5,5,5,5,4,0,5,3,5,5,4,5,100000,4,4,4,2,4,4,0,2,1,1,1,1,1,1,1,0,3,,0,1,3,1,1,1,1,,2,4,0,,1,4
1356,3,2,1,,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,,,,,,2,2,2,1,45,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,1,1,5,5,5,5,5,1,2,4,4,4,1,3,3,1,3,3,3,3,3,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,11,11,5,5,5,3,3,5,1,1,3,2,4,4,4,3,4,1,0,0,1,0,4,,99,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,10,10,7,1,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,5,5,4,4,3,4,4,4,100,5600,5,5,5,4,4,4,0,4,1,1,1,1,0,1,1,0,2,5,0,1,4,0,0,0,4,3,1,4,1,1,,
1357,3,2,4,,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,,,,,,3,1,5,2,3,6,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,1,0,1,1,1,0,0,,,,,,,,,,,3,2,4,1,2,5,5,5,5,4,4,3,4,4,5,0,,,,,,,,,,,,,,,1,1,2,1,1,1,1,3,4,1,3,1,3,2,1,11,11,5,3,98,3,3,5,0,1,2,2,2,4,3,3,3,4,1,1,0,0,4,,2,,,,,,,,,,2,0,,,,,,,,1,1,150,3,,,,,,,7,5,11,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,5,3,4,3,4,50,1000,3,4,4,1,3,3,1,3,1,1,1,1,1,1,1,0,3,,1,1,2,0,0,0,3,2,1,3,0,,1,1
1358,3,2,4,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,3,1,,2,,3,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,1,1,4,98,98,4,5,98,5,4,98,99,4,4,4,1,2,3,1,3,3,3,3,1,,,,,,,1,1,1,1,1,4,1,4,1,1,1,1,3,5,2,9,9,5,4,5,3,3,5,0,1,3,3,4,4,4,4,4,2,0,0,1,0,1,1,99,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,5,3,5,4,5,5,4,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,4,4,4,1,5,3,5,,,4,4,5,4,4,3,0,3,1,1,1,1,1,0,1,0,3,,0,1,3,0,0,0,4,4,1,99,1,0,,
1359,3,2,4,,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,2,2,8,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,3,0,5,5,5,4,5,1,5,5,1,2,4,3,4,1,1,,,,,,,,0,0,0,1,1,0,2,1,4,1,2,2,3,4,4,1,4,2,2,2,1,11,8,4,4,4,4,3,4,0,1,2,2,3,4,3,3,3,0,,,,,1,1,1,0,3,1,1,1,3,3,1,2,,,,,,,,,,2,,,,1,8,3,,,,5,1,5,1,5,98,5,98,3,98,5,5,4,4,5,4,4,4,3,4,5,5,5,4,4,4,3,5,5,4,1,,4,4,4,4,4,4,0,,1,1,1,1,1,0,1,0,98,,0,0,90,0,0,0,3,3,2,5,1,1,,
1360,3,2,4,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,3,1,,2,2,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,5,1,5,5,5,5,5,1,2,4,3,5,1,1,,,,,,,,1,0,0,1,0,0,1,1,1,1,1,1,5,2,2,5,5,5,5,5,5,2,2,2,1,5,3,98,3,1,0,,,3,3,3,3,3,1,99,99,99,99,1,3,2,,,,,,,,,,2,0,,,,,,,,4,,,,,,,,,,6,4,4,3,4,3,3,4,4,3,4,4,3,3,3,5,5,3,5,3,4,5,5,5,5,3,3,3,3,4,1,100000000,3,2,2,3,3,3,1,3,0,1,1,0,0,0,0,0,3,,0,1,97,1,1,0,1,2,1,3,0,,1,4
1361,3,2,4,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,2,2,2,2,1,3,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,3,4,5,5,5,5,5,1,2,4,2,5,0,,,,,,,,,,,,,,,1,1,5,1,1,2,5,4,4,5,5,4,4,5,5,10,1,4,3,4,2,2,4,1,1,3,1,3,4,2,4,4,1,0,1,0,0,,,2,,,,,,,,,,1,1,2,1,2,2,2,1,1,1,1,200,3,,,,,,,9,2,11,2,4,4,4,5,5,4,5,4,3,4,5,5,4,3,4,4,5,3,5,2,2,2,2,4,5,4,100,10000,4,4,4,1,3,1,1,4,0,0,0,0,0,1,0,0,1,,1,1,2,1,1,0,2,3,1,5,0,,1,3
